date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:00	124/124	---M--	200	added ('OK')	text/plain	etag:%225edb6ff5-7c%22	https://cleanservice.com.au/robots.txt		(from )
12:17:01	23610/23610	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:31%20GMT	https://cleanservice.com.au/	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/index.html	(from )
12:17:01	9312/9312	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-2460%22	https://cleanservice.com.au/resources/pic/main/cleanservice-logo.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/cleanservice-logo.png	(from https://cleanservice.com.au/)
12:17:03	65839/65839	---MCZ	200	added ('OK')	text/css	etag:W/%225edb6ff5-1012f%22	https://cleanservice.com.au/resources//css/main.css	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/css/main.css	(from https://cleanservice.com.au/)
12:17:06	32038/32038	---M--	200	added ('OK')	image/x-icon	etag:%225edb6ff5-7d26%22	https://cleanservice.com.au/resources/pic/main/cleanservice.ico	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/cleanservice.ico	(from https://cleanservice.com.au/)
12:17:08	1945/1945	---M--	200	added ('OK')	image/png	etag:%225edb6ff5-799%22	https://cleanservice.com.au/resources/pic/main/logo_cleanservice.png	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/resources/pic/main/logo_cleanservice.png	(from https://cleanservice.com.au/)
12:17:10	17737/17737	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:39%20GMT	https://cleanservice.com.au/promise	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/promise.html	(from https://cleanservice.com.au/)
12:17:12	17657/17657	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:41%20GMT	https://cleanservice.com.au/cleaning-quality	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/cleaning-quality.html	(from https://cleanservice.com.au/)
12:17:13	17944/17944	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:44%20GMT	https://cleanservice.com.au/cleaning-science	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/cleaning-science.html	(from https://cleanservice.com.au/)
12:17:13	17029/17029	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:44%20GMT	https://cleanservice.com.au/office-cleaning	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/office-cleaning.html	(from https://cleanservice.com.au/)
12:17:14	17676/17676	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:45%20GMT	https://cleanservice.com.au/medical-cleaning	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/medical-cleaning.html	(from https://cleanservice.com.au/)
12:17:14	17612/17612	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Jan%202021%2010:17:45%20GMT	https://cleanservice.com.au/sports-cleaning	C:/My%20Web%20Sites/EcoGenies/cleanservice.com.au/sports-cleaning.html	(from https://cleanservice.com.au/)
